"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"156","Firm 27","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"157","Firm 27","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"158","Firm 27","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"159","Firm 27","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"160","Firm 28","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"161","Firm 28","Employee 2",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"162","Firm 28","Employee 3",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"163","Firm 28","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"164","Firm 28","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"165","Firm 28","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"166","Firm 28","Employee 7",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"167","Firm 28","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"168","Firm 28","Employee 9",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"169","Firm 29","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,0,0,1,0,0,0
"170","Firm 29","Employee 2",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,0,0,1,0,0,0
"171","Firm 30","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1
"172","Firm 30","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1
"173","Firm 30","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1
"174","Firm 30","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1
"175","Firm 30","Employee 5",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"176","Firm 30","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"177","Firm 30","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"178","Firm 30","Employee 8",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"179","Firm 30","Employee 9",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"180","Firm 30","Employee 10",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"181","Firm 31","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"182","Firm 31","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"183","Firm 31","Employee 3",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"184","Firm 31","Employee 4",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0
"185","Firm 31","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,1,0,0,0,1,1
"186","Firm 31","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"187","Firm 31","Employee 7",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"188","Firm 31","Employee 8",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"189","Firm 31","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"190","Firm 31","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"191","Firm 31","Employee 11",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"192","Firm 31","Employee 12",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"193","Firm 31","Employee 13",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"194","Firm 31","Employee 14",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"195","Firm 32","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"196","Firm 32","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"197","Firm 32","Employee 3",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"198","Firm 32","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"199","Firm 33","Employee 1",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"200","Firm 33","Employee 2",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"201","Firm 33","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"202","Firm 34","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"203","Firm 35","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"204","Firm 35","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"205","Firm 35","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"206","Firm 36","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"207","Firm 36","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"208","Firm 37","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"209","Firm 37","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"210","Firm 38","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"211","Firm 39","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"212","Firm 39","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"213","Firm 39","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0
"214","Firm 40","Employee 1",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"7.7","$5-$15",1,0,0,0,0,0,1,0,0,0
"215","Firm 40","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7.7","$5-$15",1,0,0,0,0,0,1,0,0,0
"216","Firm 40","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1
"217","Firm 40","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1
"218","Firm 41","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1
"219","Firm 41","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0
"220","Firm 41","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0
"221","Firm 41","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0
"222","Firm 41","Employee 5",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,0,0
"223","Firm 42","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,0,0
"224","Firm 42","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0
"225","Firm 42","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,1,0,0,0,0,0
"226","Firm 42","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,1,0,0,0,0,0
"227","Firm 42","Employee 5",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1
"228","Firm 42","Employee 6",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1
"229","Firm 42","Employee 7",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1
"230","Firm 42","Employee 8",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1
"231","Firm 43","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1
"232","Firm 43","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,0,1,0,0
"233","Firm 44","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,0,1,0,0
"234","Firm 44","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"235","Firm 45","Employee 1",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"236","Firm 45","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,0,0
"237","Firm 45","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,0,0
"238","Firm 46","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0
"239","Firm 46","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0
"240","Firm 47","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0
"241","Firm 47","Employee 2",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0
"242","Firm 48","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0
"243","Firm 48","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0
"244","Firm 49","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0
"245","Firm 49","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0
"246","Firm 49","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1
"247","Firm 49","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1
"248","Firm 50","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1
"249","Firm 51","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1
"250","Firm 51","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"251","Firm 51","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"252","Firm 52","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"253","Firm 52","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"254","Firm 52","Employee 3",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"255","Firm 52","Employee 4",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"256","Firm 52","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"257","Firm 52","Employee 6",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"258","Firm 52","Employee 7",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0
"259","Firm 53","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1
"260","Firm 53","Employee 2",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1
"261","Firm 53","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"262","Firm 53","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"263","Firm 53","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"264","Firm 53","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"265","Firm 53","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"266","Firm 53","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"267","Firm 54","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"268","Firm 55","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"269","Firm 55","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0
"270","Firm 55","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0
"271","Firm 56","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0
"272","Firm 56","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0
"273","Firm 56","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"274","Firm 57","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"275","Firm 57","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"276","Firm 57","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"277","Firm 57","Employee 4",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"278","Firm 57","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"279","Firm 57","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"280","Firm 57","Employee 7",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"281","Firm 57","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"282","Firm 57","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"283","Firm 57","Employee 10",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"284","Firm 57","Employee 11",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"285","Firm 57","Employee 12",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1
"286","Firm 57","Employee 13",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1
"287","Firm 57","Employee 14",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1
"288","Firm 58","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1
"289","Firm 58","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0
"290","Firm 59","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0
"291","Firm 59","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0
"292","Firm 60","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"293","Firm 61","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"294","Firm 61","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"295","Firm 62","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"296","Firm 62","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"297","Firm 62","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,0,0,0,1,0,1
"298","Firm 62","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,0,0,0,1,0,1
"299","Firm 62","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,1,0,0
"300","Firm 63","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,1,0,0
"301","Firm 63","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,0,0
"302","Firm 63","Employee 3",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,0,0
"303","Firm 63","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"304","Firm 63","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"305","Firm 63","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"306","Firm 63","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1
"307","Firm 63","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1
"308","Firm 63","Employee 9",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1
"309","Firm 63","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1
"310","Firm 63","Employee 11",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0
"311","Firm 64","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"312","Firm 64","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0
"313","Firm 64","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,0,1,0,1,0
"314","Firm 64","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,0,1,0,1,0
