"","firm","Size of Most Recent Fund ($MM) Grouping","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"80","Firm 57","N/A",7,1,2,1,2,9,10,0,1,0,0,2,8,0,0,0,1,0,0,0,0,11,0,0,0,11,0,0,0,7,7
"81","Firm 58","N/A",2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1
"82","Firm 59","N/A",0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0
"83","Firm 6","$100+",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"84","Firm 6","$15.1-$99",5,0,0,0,0,5,4,0,1,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,5,0,0,5,0,0
"85","Firm 60","N/A",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"86","Firm 61","N/A",1,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"87","Firm 62","$100+",2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
"88","Firm 62","N/A",1,0,1,1,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,0
"89","Firm 63","N/A",8,0,2,1,3,8,10,0,1,0,0,3,7,0,0,0,1,0,0,0,0,8,1,2,0,7,4,1,1,1,4
"90","Firm 64","N/A",3,0,2,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,2,3,0,2,1,2,0
"91","Firm 65","N/A",1,1,2,1,1,4,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0
"92","Firm 66","N/A",1,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"93","Firm 67","N/A",0,0,0,5,2,3,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
"94","Firm 68","$5-$15",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"95","Firm 68","N/A",0,0,1,4,3,2,3,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0
"96","Firm 69","$5-$15",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"97","Firm 69","N/A",4,0,4,0,1,7,6,0,2,0,0,1,5,0,0,0,2,0,0,0,0,3,5,0,0,3,3,3,5,6,0
"98","Firm 7","$100+",2,1,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
"99","Firm 7","$15.1-$99",1,0,5,0,1,5,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,0
"100","Firm 70","N/A",3,0,4,2,3,6,8,0,1,0,0,2,6,0,0,1,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0
"101","Firm 71","$100+",1,2,0,0,1,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,3
"102","Firm 8","$100+",0,0,4,0,0,4,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0
"103","Firm 9","$100+",4,0,0,0,1,3,2,1,1,0,0,0,2,1,0,0,1,0,0,0,0,4,0,0,0,4,0,0,4,4,0
