"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"134","Firm 23","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"135","Firm 23","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"136","Firm 23","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"137","Firm 23","Employee 5",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"138","Firm 23","Employee 6",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"139","Firm 24","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"140","Firm 24","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"141","Firm 24","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"142","Firm 24","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"143","Firm 24","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"144","Firm 24","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"145","Firm 24","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"146","Firm 24","Employee 8",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"147","Firm 25","Employee 1",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"148","Firm 25","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"149","Firm 25","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"150","Firm 26","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"151","Firm 26","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"152","Firm 26","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"153","Firm 27","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"154","Firm 27","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"80.55","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"155","Firm 27","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"156","Firm 27","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"157","Firm 27","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"158","Firm 27","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"159","Firm 27","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"160","Firm 28","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"161","Firm 28","Employee 2",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"162","Firm 28","Employee 3",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"163","Firm 28","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"164","Firm 28","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"165","Firm 28","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"166","Firm 28","Employee 7",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"167","Firm 28","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"168","Firm 28","Employee 9",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"169","Firm 29","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,0,0,1,0,0,0,"VC Firm"
"170","Firm 29","Employee 2",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,0,0,1,0,0,0,"VC Firm"
"171","Firm 30","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"172","Firm 30","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"173","Firm 30","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"174","Firm 30","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9.82","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
